,Comments
107,"['knnte', 'fast', 'fragen', 'warum', 'art', 'art', 'schlgt', 'abgesehen', 'davon', 'groartige', 'dokumentation', 'wow', 'arte', 'fels', 'brandung', 'bildungsfernsehens', 'danke', 'dafr']"
108,"['problem', 'doku', 'stark', 'propagierte', 'nihilismus', 'persnlich', 'fr', 'extrem', 'unbefriedigend', 'halte']"
109,"['ab', 'ca', 'fr', 'punkte', 'brauchen', 'ja', 'auto', 'schneller', 'tiere', 'waffen', 'denen', 'tiere', 'spielend', 'erlegen', 'knnen', 'flugzeuge', 'etc', 'etc', 'technik', 'wurden', 'ja', 'gegeben', 'schlaue', 'menschen', 'entwickelt']"
110,"['mehr', 'lange', 'dauern', 'leute', 'erkennen', 'motivation', 'machwerk', 'steckt']"
111,"['bakterien', 'stimmungsmacher', 'wusste', 'luft', 'ber', 'nase', 'sympathie', 'nase', 'mglich']"
112,"['richtig', 'gut', 'schon', 'komisch', 'tun', 'irgendwie', 'wahrnehmen', 'kosmische', 'witz', 'anscheinend', 'all', 'dingen', 'steckt', 'diejenigen', 'gegenseitig', 'unglaubliche', 'geschichte', 'perfektion', 'gre', 'verlorensein', 'liebe', 'leid', 'erzhlen', 'sogar', 'zeigen', 'knnen', 'komplexittszunahme', 'immer', 'schneller', 'ablaufenden', 'zyklen', 'ziemlich', 'gut', 'story', 'tell', 'aufweisen', 'mal', 'ehrlich', 'dynamik', 'universums', 'scheinbaren', 'enstehen', 'ganz', 'basale', 'elemente', 'drei', 'vier', 'krfte', 'halten', 'medium', 'passiert', 'milliarden', 'jahren', 'physik', 'anorganische', 'chemie', 'schneller', 'organische', 'chemie', 'biologie', 'immer', 'schneller', 'komplexer', 'evolution', 'explosionen', 'formen', 'perspektiven', 'meteoriten', 'vulkane', 'drren', 'historie', 'neocortex', 'mimik', 'symbole', 'sprache', 'abstraktion', 'animismus', 'tanz', 'trance', 'phantasie', 'spiel', 'schauspiel', 'wirklichkeit', 'dada', 'hip', 'hop', 'maschinen', 'technik', 'quantenphisik', 'game', 'biotech', 'vr', 'ai', 'next', 'level', 'zeug', 'immer', 'schneller', 'komplexer', 'universum', 'vergangenem', 'zufllig', 'vorn', 'seite', 'richtungen', 'getrieben', 'scheint', 'wrde', 'gezogen', 'wolle', 'zweck', 'sichtbarwerdungselbstbetrachtung', 'vollziehen', 'ganz', 'unbedeutend', 'finde', 'position', 'menschen', 'darin', 'trotzdem', 'planetare', 'interstellare', 'mehrdimensionale', 'spezies', 'punkt', 'gleichgestellt', 'erfllt', 'eigenen', 'zweck', 'gesamten', 'existenz', 'erfhrt', 'ganz', 'spezielle', 'perspektive', 'gesamtwirklichkeit', 'jedoch', 'lage', 'mehrere', 'perspektiven', 'anzuschneiden', 'imitieren', 'ameise', 'soziale', 'netzwerke', 'fliebandarbeit', 'usw', 'erfunden', 'wrter', 'erfunden', 'beschreiben', 'ameise', 'natrlich', 'macht', 'vllt', 'sogar', 'story', 'universums', 'erzhlen', 'realitt', 'douglas', 'adam', 'story']"
113,"['mensch', 'schwarzes', 'loch', 'bewusstsein', 'kommt', 'gehtdas', 'universum', 'gross', 'klein', 'vorstellungdas', 'schwarze', 'loch', 'zugang', 'reich', 'gottesdas', 'universum', 'kristallkugeldas', 'schwarze', 'loch', 'erforscht', 'drink', 'verschwindet']"
114,"['doku', 'grund', 'freude', 'traurig', 'dringend', 'erwachen', 'brauchen']"
115,"['fragen', 'mensch', 'menschheit', 'einmalig', 'jaaaaa', 'absehbarer', 'zeit', 'schaffen', 'fast', 'lebensarten', 'vernichten', 'gab', 'geschichte', 'erde', 'lebens', 'nie', 'derart', 'schnelles', 'massensterben', 'weder', 'asteroid', 'for', 'mio', 'jahren', 'gammablitz', 'for', 'mio', 'jahren', 'geschafft', 'knnen', 'echt', 'drauf', 'einbilden', 'sarkasmus', 'ende']"
116,"['and', 'crawl', 'on', 'the', 'earth', 'face', 'call', 'them', 'the', 'human', 'race', 'unmeaning', 'rocky', 'horror', 'picture', 'show']"
117,"['irgendwann', 'kommt', 'schluss', 'doku', 'zeilen', 'sagen', 'kackekfer', 'besser', 'menschich', 'mal', 'bren', 'sehen', 'kampf', 'bewaffneten', 'soldaten', 'kleine', 'tiere', 'groe', 'gewichte', 'heben', 'knnen', 'funktioniert', 'rein', 'physikalisch', 'mehr', 'grer', 'wehren']"
118,"['go', 'vegan', 'mehr', 'sagen', 'berdenkt', 'konsum']"
